,tweet_id,retweet_count,favorite_count
244,844223788422217728,2072,13161
245,843981021012017153,2806,14638
246,843856843873095681,4374,20694
247,843604394117681152,2594,16271
248,843235543001513987,5689,20724
249,842846295480000512,3454,14750
250,842765311967449089,1205,6493
251,842535590457499648,3338,17486
252,842163532590374912,5510,23573
253,842115215311396866,2877,13495
254,841833993020538882,14262,0
255,841680585030541313,7467,24902
256,841439858740625411,3487,12174
257,841320156043304961,5257,19132
258,841314665196081154,4414,15291
259,841077006473256960,5067,22089
260,840761248237133825,1674,0
261,840728873075638272,15276,0
262,840698636975636481,2,171
263,840696689258311684,923,11878
264,840632337062862849,1674,8701
265,840370681858686976,4344,15897
266,840268004936019968,5462,18605
267,839990271299457024,2168,12980
268,839549326359670784,7407,26521
269,839290600511926273,137,0
270,839239871831150596,6222,26214
271,838952994649550848,3826,19032
272,838921590096166913,1948,10781
273,838916489579200512,32,0
274,838831947270979586,10526,0
275,838561493054533637,1270,10624
276,838476387338051585,4537,21758
277,838201503651401729,9604,0
278,838150277551247360,318,1613
279,838085839343206401,1,136
280,838083903487373313,2977,17097
281,837820167694528512,7508,33022
282,837482249356513284,424,3743
283,837471256429613056,2161,12411
284,837110210464448512,2262,15576
285,836989968035819520,2202,12378
286,836753516572119041,4445,18802
287,836677758902222849,2128,12268
288,836648853927522308,531,0
289,836397794269200385,26354,0
290,836380477523124226,2867,14361
291,836260088725786625,4138,20699
292,836001077879255040,4090,18506
293,835685285446955009,7805,0
294,835574547218894849,3460,17291
295,835536468978302976,1617,0
296,835309094223372289,20089,0
297,835297930240217089,2862,16011
298,835264098648616962,1617,7501
299,835246439529840640,68,2047
300,835172783151792128,5528,25444
301,835152434251116546,2876,21741
302,834931633769889797,1557,10480
303,834786237630337024,5311,20865
304,834574053763584002,2415,13271
305,834477809192075265,10227,0
306,834458053273591808,1607,9352
307,834209720923721728,4551,19982
308,834167344700198914,3530,15402
309,834089966724603904,2053,9764
310,834086379323871233,2120,12703
311,833863086058651648,2311,13080
312,833826103416520705,3614,17641
313,833732339549220864,212,0
314,833722901757046785,3116,20321
315,833479644947025920,1962,14478
316,833124694597443584,4663,19679
317,832998151111966721,2117,12904
318,832769181346996225,38,0
319,832757312314028032,3481,16412
320,832682457690300417,2807,11559
321,832645525019123713,512,2852
322,832636094638288896,2680,15460
323,832397543355072512,2125,11666
324,832369877331693569,3070,16714
325,832273440279240704,2246,11052
326,832215909146226688,5994,0
327,832215726631055365,8985,0
328,832088576586297345,2,61
329,832040443403784192,9234,0
330,832032802820481025,4497,17391
331,831939777352105988,5914,23337
332,831926988323639298,34,325
333,831911600680497154,6261,26849
334,831670449226514432,1746,10156
335,831650051525054464,1853,6937
336,831552930092285952,2250,8751
337,831322785565769729,1497,9050
338,831315979191906304,1077,6367
339,831309418084069378,2381,11471
340,831262627380748289,1974,11598
341,830956169170665475,1437,7782
342,830583320585068544,16142,65003
343,830173239259324417,5468,0
344,830097400375152640,2825,9523
345,829878982036299777,4819,0
346,829861396166877184,1868,11955
347,829501995190984704,10227,30947
348,829449946868879360,1938,10208
349,829141528400556032,7089,23768
350,829011960981237760,15821,52038
351,828801551087042563,3305,0
352,828770345708580865,5652,24949
353,828708714936930305,10814,35614
354,828650029636317184,1292,9292
355,828409743546925057,1119,6208
356,828408677031882754,1242,7511
357,828381636999917570,2153,12300
358,828376505180889089,1035,7220
359,828372645993398273,2831,12287
360,828361771580813312,172,2131
361,828046555563323392,2762,11464
362,828011680017821696,2089,10117
363,827933404142436356,5070,19574
364,827653905312006145,2921,15135
365,827600520311402496,908,7298
366,827324948884643840,2931,15473
367,827199976799354881,2153,10331
368,826958653328592898,4819,21043
369,826848821049180160,9808,35352
370,826615380357632002,3856,0
371,826598799820865537,241,5016
372,826598365270007810,2274,9777
373,826476773533745153,4056,17978
374,826240494070030336,2528,12971
375,826204788643753985,887,4763
376,826115272272650244,3004,15288
377,825876512159186944,1800,10247
378,825829644528148480,2425,12465
379,825535076884762624,17055,55757
380,825147591692263424,4391,17883
381,825120256414846976,1210,0
382,825026590719483904,1210,6129
383,824796380199809024,5344,0
384,824775126675836928,3394,14601
385,824663926340194305,1711,10296
386,824325613288833024,10285,11566
387,824297048279236611,3734,14720
388,824025158776213504,582,4729
389,823939628516474880,2637,10415
390,823719002937630720,10826,0
391,823699002998870016,2443,13673
392,823581115634085888,2543,12738
393,823333489516937216,22,689
394,823322678127919110,3885,15398
395,823269594223824897,9606,0
396,822975315408461824,3342,16963
397,822872901745569793,41863,128686
398,822859134160621569,2202,12953
399,822647212903690241,6203,0
400,822610361945911296,2851,14496
401,822489057087389700,6203,17746
402,822462944365645825,13817,27318
403,822244816520155136,9606,34264
404,822163064745328640,4600,0
405,821886076407029760,2238,11084
406,821813639212650496,3276,0
407,821765923262631936,1617,8220
408,821522889702862852,1704,7868
409,821421320206483457,5399,0
410,821407182352777218,4189,11498
411,821153421864615936,10,248
412,821149554670182400,1899,8438
413,821107785811234820,2069,9402
414,821044531881721856,2212,12414
415,820837357901512704,6517,0
416,820749716845686786,9604,30919
417,820690176645140481,3141,11994
418,820494788566847489,548,0
419,820446719150292993,2491,0
